,Date,Headlines
84,2021-11-25,Malegaon blast case: Accused BJP MP Pragya Thakur appears before Mumbai court
85,2021-11-25,UP professor accused of running sex racket from women's college
86,2021-11-25,"Agra lawyer moves court against Kangana Ranaut, wants sedition case filed "
87,2021-11-25,Union Cabinet approves proposal to repeal three farm laws
88,2021-11-25,Uttar Pradesh: Man acquitted in arms case after 26 years
89,2021-11-25,"Will return to Tripura, won’t budge an inch: TMC leader Saayoni Ghosh"
90,2021-11-25,"Allahabad HC says oral sex with minor not 'aggravated sexual assault', sparks row"
91,2021-11-25,Watch: Kerala RSS worker stabbed to death; PFI leader arrested
92,2021-11-25,Watch: Gautam Gambhir gets death threat from ISIS Kashmir
93,2021-11-25,Watch: Mamata Banerjee to meet PM Modi in Delhi
94,2021-11-25,"Mamata Banerjee to meet PM Modi on Tripura violence, BSF's jurisdiction extension"
95,2021-11-25,Three people with links to Lashkar arrested for killing salesman in Srinagar
96,2021-11-25,Kerala: PFI leader held in RSS worker's murder case
97,2021-11-25,"Delhi pollution crisis | Pollution less, back to pre-Diwali days, says Gopal Rai: HIGHLIGHTS"
98,2021-11-25,"Watch: Govt intends to create official digital currency, prohibit private players"
99,2021-11-25,Weather Forecast LIVE: Low pressure area likely over Bay of Bengal; IMD predicts heavy rainfall for Tamil Nadu 
100,2021-11-25,"Gautam Gambhir gets death threat from ISIS Kashmir, security beefed up outside home"
101,2021-11-25,PFI leader held in RSS worker's murder case in Kerala; Covaxin meets WHO standards of protection; more
102,2021-11-25,Watch: IIT Madras gets flak for failing to play Tamil anthem at convocation
103,2021-11-25,"Assam to issue notification to fill 6,000 vacant posts in police dept: CM Himanta Biswa Sarma"
104,2021-11-25,Cryptocurrencies crash as govt seeks to ban private players with new Bill | Top points
105,2021-11-25,"Jewar Airport to benefit NCR residents, PM Modi to launch mega project on Nov 25"
106,2021-11-25,"Within my rights to speak against political party, its leader: Elgar Parishad accused in bail plea"
107,2021-11-25,IIT Madras gets flak for failing to play Tamil anthem at convocation
108,2021-11-25,"Breaking News November 24, 2021: Madhya Pradesh logs 22 new Covid-19 cases, inoculates over 17.40 lakh"
109,2021-11-25,"Gujarat: Woman dies after falling unconscious in coffee shop, kin blame youth from another community"
110,2021-11-25,"Shots fired at Assam forest officials on Assam-Arunachal border, no casualty reported"
111,2021-11-25,Guwahati: Govt officer caught red handed while taking bribe 
112,2021-11-25,Third Covid wave of magnitude comparable to first two unlikely to hit India: AIIMS Director Randeep Guleria
113,2021-11-25,"ED searches IREO premises, 3 other firms in money laundering case"
114,2021-11-25,Telangana: ED attaches assets worth Rs 144 crore in Insurance Medical Scheme Scam 
115,2021-11-25,"Privacy is of highest priority, citizen consent most important: CEO Aadhaar"
116,2021-11-25,"Defence Ministry clears procurement of communication equipment worth Rs 2,236 crore for IAF"
117,2021-11-25,Centre committed to protecting individuals’ privacy: IT Minister Ashwini Vaishnaw
118,2021-11-25,Cryptocurrency prices turn red as govt plans law on banning private players
119,2021-11-25,Aadhaar going global? Several countries show interest in the technology 
120,2021-11-25,Narayan Rane targets Aaditya Thackeray again over Sushant Singh Rajput case
121,2021-11-25,Knew approval would come through: Dr Krishna Ella speaks for first time after Covaxin's compliance
122,2021-11-25,Andhra Assembly adopts resolution requesting Centre for OBC caste census 
123,2021-11-25,From quantum communication to vanishing satellites: Isro working on disruptive future tech
124,2021-11-25,Andhra Pradesh adopts resolution seeking abolishing of Legislative Council
125,2021-11-25,"NIA arrests human rights activist for links with Pak-based OGW, searches premises of former NIA officer"
126,2021-11-25,"Crypto Bill in Parliament: Govt looks to create official digital currency, ban private players"
127,2021-11-25,"5 dead, several injured after gas cylinder explosion triggers building collapse in Tamil Nadu | WATCH"
128,2021-11-25,"Leopard spotted in Ghaziabad's Raj Nagar, second sighting in 7 days"
129,2021-11-25,UP's Amethi set to make AK203 Kalashnikov rifles as India-Russia ink pact
130,2021-11-25,Sameer Wankhede’s wife files complaint against Nawab Malik over sharing screenshots of ‘fake’ chats
131,2021-11-25,His sacrifice gives me strength to carry on with life: Colonel Santosh Babu's wife
132,2021-11-25,His sacrifice has given strength to carry on with life: Col Santosh Babu's wife
133,2021-11-25,"Ahead of Russian President Vladimir Putin’s visit, defence ministry clears AK-203 deal"
134,2021-11-25,FIR filed against Kangana Ranaut for hurting sentiments of Sikh community
135,2021-11-25,Cabinet to clear Farm Laws Repeal Bill 2021 today; to be tabled in Winter Session
136,2021-11-25,"Param Bir Singh ‘absconding’, says court order pasted outside his residence in Mumbai"
137,2021-11-25,Pawan Khera slams BJP for targeting Congress over Manish Tewari's book
138,2021-11-25,Clear approach was missing in security matters before 2014: Nirmala amid row over Manish Tewari book
139,2021-11-25,Kerala: PFI leader arrested in connection with RSS worker's murder in Palakkad
140,2021-11-25,There's no democracy in Tripura: BJP MLA Sudip Barman speaks out against CM Biplab Deb
141,2021-11-25,"Congress leaders Kirti Azad, Ashok Tanwar join TMC in New Delhi"
142,2021-11-25,Supreme Court refuses to postpone Tripura civic polls
143,2021-11-25,Leopard roams freely in residential area of Tamil Nadu's Nilgiris | Watch 
144,2021-11-25,"Amused at BJP's reaction, says Manish Tewari on row over 26/11 excerpt in his book"
145,2021-11-25,PM Modi to lay foundation stone of Noida International Airport in Jewar on Nov 25
146,2021-11-25,Assam man designs unique scooter that can accommodate 4 people
147,2021-11-25,"Supreme Court refuses to postpone Tripura civic poll, orders state to maintain peace"
148,2021-11-25,Former JD(U) MP Pavan Varma joins TMC in presence of Mamata Banerjee
149,2021-11-25,"30,000 soldiers take part in military drill for future warfare"
150,2021-11-25,BJP targets Congress as Manish Tewari’s book slams UPA over 26/11 response
151,2021-11-25,Watch: Delhi CM Arvind Kejriwal in Punjab
152,2021-11-25,"Bedridden US citizen, covered in ants, rescued from locked Kerala hotel room"
153,2021-11-25,Landslide blocks NH-5 in Himachal Pradesh's Shimla
154,2021-11-25,Watch: Battle for Punjab intensifies
155,2021-11-25,Provide security to TMC workers alleging violence: SC to Tripura govt
156,2021-11-25,"False drug case foisted on my son by NCB, Sameer Wankhede: Retired Mumbai ACP "
157,2021-11-25,Cops arrest 4 more for transporting ganja using Amazon services
158,2021-11-25,Couple found hanging in their house in Maharashtra's Thane dist
159,2021-11-25,Watch: PFI leader arrested for murder of RSS worker in Kerala
160,2021-11-25,"4 houses collapse in Tamil Nadu's Salem due to heavy rain, 4 feared trapped"
161,2021-11-25,Tripura municipal polls see BJP-TMC fight reach Supreme Court
162,2021-11-25,Congress leader Manish Tewari hits out at UPA regime
163,2021-11-25,"Flooded roads, submerged streets: Heavy rain throws life out of gear in Bengaluru | In Pics"
164,2021-11-25,"AIMIM chief Asaduddin Owaisi demands CAA, NRC to be repealed"
165,2021-11-25,Madhya Pradesh | 14-year-old hangs self after missing school bus
166,2021-11-25,"Central teams assess rain damage in TN, Puducherry; more rainfall expected"
167,2021-11-25,Brief us about security developments: SC to Tripura govt
168,2021-11-25,"Maha govt has no right to file petition on behalf of officers in Anil Deshmukh case, CBI tells Bombay HC"
169,2021-11-25,"Gallantry Awards 2021: President Kovind presents Vir Chakra, Kirti Chakra and Shaurya Chakra"
170,2021-11-25,"Watch: My sister was not drunk, says Kerala car crash victim's brother"
171,2021-11-25,Govt should have acted after 26/11: Manish Tewari in book
172,2021-11-25,Galwan hero Colonel Santosh Babu awarded Mahavir Chakra posthumously
173,2021-11-25,Watch: BJP core committee holds meeting in Lucknow
174,2021-11-25,"Maharashtra | NCB cracks down on drug mafia in Nanded, seizes over 100kg of narcotics"
175,2021-11-25,"What are you doing to ensure fair civic body polls, SC asks Tripura govt"
176,2021-11-25,Supreme Court dismisses plea challenging Central Vista project
177,2021-11-25,Delhi air pollution Live Updates: AQI remains in 'very poor' category
178,2021-11-25,"Who is the real 'Aam Aadmi'? Spat continues between Kejriwal, Channi"
179,2021-11-25,Watch: Supreme Court to hear TMC's petition today
180,2021-11-25,"English Channel tragedy: 31 migrants feared dead in boat capsize; France, UK trade blame"
181,2021-11-25,"Death to N Korea man for selling Squid Game, life term to boy for buying"
182,2021-11-25,"14 clandestine graves found in northern Mexico, investigators suspect drug turf war"
183,2021-11-25,Migrant death toll rises to 27 in deadliest English Channel disaster
184,2021-11-25,"1 dead, 3 injured after carbon dioxide leak at nuclear power plant in Spain"
185,2021-11-25,3 white men charged in Ahmaud Arbery's death convicted of murder by Georgia jury
186,2021-11-25,UAE pushes for resumption of normal air services with India; Quadrant foreign ministers to meet 
187,2021-11-25,No babies in Parliament: UK lawmakers outraged by infant ban
188,2021-11-25,Biden names women of colour to lead White House budget office
189,2021-11-25,Sweden's first female prime minister quits over budget defeat hours after taking office 
190,2021-11-25,UK Parliament reviews rules for babies being allowed in chamber
191,2021-11-25,'Eternal' chancellor: Germany's Angela Merkel set to hand off power
192,2021-11-25,Over 20 migrants die after boat sinks in France-England Channel
193,2021-11-25,"UAE, Qatar engage in tussle over handling of Kabul airport in Taliban-ruled Afghanistan"
194,2021-11-25,Australia’s Barrier Reef erupts in colour as corals spawn
195,2021-11-25,Sweden's parliament approves first female prime minister
196,2021-11-25,"Ho, Ho, Ho! Socially distanced Santa spreads Christmas cheer amid pandemic fear | In Pics"
197,2021-11-25,"''Mama, are you OK?'' In Waukesha, minutes of terror recounted "
198,2021-11-25,Christmas cheer: Cities light up to welcome Santa as festive season kicks off | In Pics
199,2021-11-25,Stunning! Giant 'Floating Earth' artwork leaves spectators speechless | In Pics
200,2021-11-25,"We can starve, but the kids cry for food: Afghans struggle after a 100 days of Taliban rule"
201,2021-11-25,"Once bitten, Apple sues NSO group for breaking into their products"
202,2021-11-25,Britain’s Royal Family issues rare rebuke to BBC over documentary on Prince William and Harry
203,2021-11-25,"Austria locks down, Merkel says new steps needed as Europe faces Covid freeze"
204,2021-11-25,Six students killed after ferry capsizes in eastern Sri Lanka
205,2021-11-25,"1959 US rape, murder case finally solved with DNA evidence"
206,2021-11-25,Times Square hopes to regain luster as tourists tricle back | In Pics
207,2021-11-25,Flaming bus crash in Bulgaria kills 45 North Macedonian tourists
208,2021-11-25,China: Winter swimming enthusiasts brave cold to swim in partly frozen lake | In Pics
209,2021-11-25,Hand-crafted flower baskets light up rivers as Thais celebrate Loy Krathong Festival | In Pics
210,2021-11-25,9 people killed in fire at nursing home in Bulgaria
211,2021-11-25,"Black man slain in Georgia was 'under attack', says prosecutor"
212,2021-11-25,Pakistan to allow India to send wheat to Afghanistan through its territory: Imran Khan
213,2021-11-25,Russia's coronavirus deaths still hover near all-time highs
214,2021-11-25,In numbers: How a renewed Covid surge is battering Europe
215,2021-11-25,"'Be jabbed, cured, or dead in few months': Germans told amid Covid surge"
216,2021-11-25,Former Netanyahu aide testifies in ex-PM's corruption trial 
217,2021-11-25,"Australia to welcome vaccinated foreign students, workers"
218,2021-11-25,"Kamra-e-faoree, Afghanistan's box cameras, in danger of disappearing | In Pics"
219,2021-11-25,"US: 5 dead, 40 injured as SUV rams Christmas Parade in Wisconsin "
220,2021-11-25,"PM Modi likely to join Biden's Summit for Democracy; Taiwan invited, China and Russia off list"
221,2021-11-25,"Taliban ban TV shows featuring women actors, ask female journalists to wear hijabs"
222,2021-11-25,"Murdered Saudi journalist's fiancee asks Justin Bieber to cancel Saudi show, says 'don't sing for murderers'"
223,2021-11-25,"5 dead, over 40 injured after SUV speeds into Christmas parade in US | Video"
224,2021-11-25,El Salvador to build cryptocurrency-fueled 'Bitcoin City'
225,2021-11-25,Sri Lanka ends farm chemical ban as organic drive fails
226,2021-11-25,UK calls for action on racial bias in medical devices
227,2021-11-25,China downgrades diplomatic ties with Lithuania over Taiwan de facto embassy
228,2021-11-25,"Sudanese military to reinstate PM Abdalla Hamdok, release political prisoners: Report"
229,2021-11-25,"Protests erupt in Pak's Gwadar amid growing backlash against China's belt, road projects"
230,2021-11-25,"50 years on, mystery man's mid-air escape remains only unsolved plane hijacking in US"
231,2021-11-25,Video of missing Chinese tennis star posted online 
232,2021-11-25,Watch: Mystery mounts over missing tennis star Peng Shuai
233,2021-11-25,"Missing Chinese tennis star safe, will appear in public soon: Reports"
234,2021-11-25,China has given 76.3% of population complete Covid-19 vaccine doses
235,2021-11-25,Nepal to not allow third country nationals to travel to India via Kurtha-Jayanagar railroad
236,2021-11-25,Russia hits record coronavirus deaths for 2nd straight day
237,2021-11-25,9 bodies found hanging from overpass in central Mexico
238,2021-11-25,"11-year-old Hindu boy sexually assaulted, murdered in Pakistan's Sindh: Report"
239,2021-11-25,Drivers scramble as cash rains from armoured truck in US | WATCH
240,2021-11-25,"Pakistan lifts ban on TikTok after assurances to curb 'immoral, indecent' content"
241,2021-11-25,World Today: US-China summit level meet; Poland-Belarus migrant crisis
242,2021-11-25,"No masks, no vaccines: Scientists mystified as Africa avoids Covid-19 disaster"
243,2021-11-25,Watch: Kamala Harris first woman to get US presidential powers briefly
244,2021-11-25,Canada approves Pfizer’s Covid-19 vaccine for children aged 5-11 years
245,2021-11-25,'Not guilty': Kyle Rittenhouse acquitted of all charges in Kenosha shootings trial
246,2021-11-25,US expands Covid-19 booster eligibility to all adults
247,2021-11-25,Stunning images of longest partial lunar eclipse since 1440 | In pics
248,2021-11-25,Pakistan govt removes castration clause from rape law
249,2021-11-25,"US rebuffs Taliban’s appeal to release frozen funds, says new govt must ‘earn’ legitimacy"
250,2021-11-25,"Jadhav bill not 'person-specific', it’s Pak’s ‘red-line': Law Minister Nasim to Opposition"
251,2021-11-25,China says ‘not aware’ of tennis player Peng Shuai's situation; UN calls for probe
252,2021-11-25,UK says it will make Hamas a banned terrorist organisation
253,2021-11-25,Kamala Harris first woman to get US presidential powers briefly. Here's why
254,2021-11-25,First known Covid-19 case was vendor in China's animal market in Wuhan: Study
255,2021-11-25,"Austria reimposes Covid lockdown, plans to make vaccines compulsory"
256,2021-11-25,"Water, water everywhere: Disastrous floods drown Canada | In Pics"
257,2021-11-25,From Rihanna to Mia Khalifa: When global celebs stood up for farmers
258,2021-11-25,Lahore: World's most polluted city chokes in smog as air quality drops | In Pics
259,2021-11-25,"Brazil Amazon deforestation up 22% in a year, 15-year record"
260,2021-11-25,"In anticipation of new constitution, Chile elects a president"
261,2021-11-25,'We thought he had Covid but it was smog': Life in polluted Pakistan
262,2021-11-25,Pakistan frees hardline Islamist leader under deal to end violence
263,2021-11-25,Israeli defence minister's housekeeper charged with espionage
264,2021-11-25,Biggest danger we face is extremism within the country: Pakistan minister
265,2021-11-25,We are considering diplomatic boycott of Winter Olympics in Beijing: US President Biden
266,2021-11-25,China sees Bhutan as the final piece in its South Asian conquests
267,2021-11-25,"Spectacular! IAF's Suryakiran, UAE's Al Fursan teams dazzle spectators at Dubai Air Show | In Pics"
268,2021-11-25,Pakistan parliament approves chemical castration of habitual rapists
269,2021-11-25,Taiwan deploys advanced F-16V fighter jets amid China threat
270,2021-11-25,Chinese govt a monster that eats its children: Ex-Interpol president's wife
271,2021-11-25,Crab breeding underway in China as people await autumn delicacy | In Pics
272,2021-11-25,Bangladesh woman judge’s controversial remark on rape gets her sacked. This is what she said
273,2021-11-25,Comedy Wildlife Photography Awards: Hilarious moments from the wild world | In Pics
274,2021-11-25,Why Is Opium Trade Crucial To The Afghan Economy | Decoded
275,2021-11-25,Economic crisis could fuel extremism in Afghanistan: UN
276,2021-11-25,Migrant crisis: 10 refugees found dead in sinking boat off Libya coast
277,2021-11-25,"At least 2 killed in blast in Shiite district of Kabul, Islamic State claims responsibility"
278,2021-11-25,Philippines accuses China of firing water cannons at its supply vessels
279,2021-11-25,"US flags Pakistan, China and 8 others as 'nations of concern'; 4 countries on 'special watch list'"
280,2021-11-25,"Europe is only region with increasing Covid deaths, says WHO"
281,2021-11-25,"Nicaraguan president, officials banned from US"
282,2021-11-25,Humanitarian activists to face criminal charges in Greece
283,2021-11-25,'Be free': Dancers sway on the sand as dusk turns to darkness | In Pics
284,2021-11-25,Zookeepers move pelicans to winter enclosure at Czech zoo | In Pics
285,2021-11-25,"US special envoy for Afghanistan meets India’s foreign secy, NSA"
286,2021-11-25,Two shades of blue: France changes colour of national flag and it went unnoticed for 3 yrs
287,2021-11-25,Facebook says Pak hackers targeted Afghan users amid Taliban takeover
288,2021-11-25,"Music in the air: 12,000 Venezuelan musicians attempt ‘world’s largest orchestra’ record | In Pics"
289,2021-11-25,"Over 10,000 Australians want compensation for Covid vaccine side effects"
290,2021-11-25,"'Those who play with fire will get burned,' Jinping warns Biden over Taiwan"
291,2021-11-25,China-US should respect each other: Jinping tells 'old friend' Biden at summit
292,2021-11-25,US issues 'Level One' Covid notice for Americans travelling to India
293,2021-11-25,"US-China talks begin: Biden hopes to discuss security issues, Xi greets his 'old friend'"
294,2021-11-25,"After nearly 6 months in jail in Myanmar, US journalist released and on his way home"
295,2021-11-25,Lightscape Los Angeles: Witness a night of wonder and light | In Pics
296,2021-11-25,Dubai Air Show: India's Tejas and Sarang showcase superior flying skills | In Pics
297,2021-11-25,"Meet US Ambassador to Nepal who celebrates Chhath Puja, has Om tattoo on his arm"
298,2021-11-25,"Two injured in blast in Kabul, cause unknown: Report"
299,2021-11-25,"Gandhi statue gifted by Indian govt vandalised in Australia, PM Scott terms act 'disgraceful'"
300,2021-11-25,China fights biggest Delta outbreak ever as Covid-19 cases keep growing
301,2021-11-25,Family of Indian-origin man on death row in Singapore pleads for 'second chance'
302,2021-11-25,Australian women to sue Qatar over invasive gynaecological searches at airport
303,2021-11-25,"Ahead of Biden-Jinping meet, a look at their complicated relationship"
304,2021-11-25,Taliban hold military parade with US-made weapons in Kabul in show of strength
305,2021-11-25,"1 dead, 1 injured after car explosion in UK's Liverpool"
306,2021-11-25,"Afghanistan doesn't want conflict with any country, including India: Taliban Foreign Minister"
307,2021-11-25,Gadhafi's son to contest for Libyan presidency in Dec 24 election
308,2021-11-25,"Good COP, bad COP? Takeaways from the new UN climate deal"
309,2021-11-25,What they are saying about the UN climate deal
310,2021-11-25,COP26 wraps with nations agreeing to deal aimed at averting climate catastrophe
311,2021-11-25,"Bomb explodes inside bus on busy Kabul street; 1 killed, 5 injured"
312,2021-11-25,Bloodbath: Gang war inside Ecuador's largest prison leaves 52 dead
313,2021-11-25,2 police officers among 7 people injured in bomb blast in Pakistan
314,2021-11-25,China's ruling party approves rare resolution; US opens borders to travelers; more
315,2021-11-25,4.4 million Americans quit jobs at record pace for second month in row 
316,2021-11-25,Biden to hold virtual summit with China's Xi on November 15
317,2021-11-25,Trump advisor Steve Bannon indicted for refusing to testify in Capitol riot probe
318,2021-11-25,Entrepreneur who flew to space on board Blue Origin rocket dies in plane crash
319,2021-11-25,Indian-origin student among 9 killed in Travis Scott's concert in Texas
320,2021-11-25,"26 people killed, more than 2.3 lakh affected by extreme weather conditions in Sri Lanka in recent past"
321,2021-11-25,Migrating pelicans stop off in Israel to feast on fish | In Pics
322,2021-11-25,15 injured in blast at mosque in Afghanistan's Nangarhar province: Reports 
323,2021-11-25,Climate change: How US-China Glasgow deal may help fight global warming
324,2021-11-25,Santa on the sea: Christmas cheer in Jerusalem as gifts arrive early | In Pics
325,2021-11-25,Kabul theater awaits its fate: Historic Ariana Cinema falls silent under Taliban rule | In Pics
326,2021-11-25,US journalist Danny Fenster sentenced to 11 years in prison in Myanmar
327,2021-11-25,"Pakistan played disruptive role in Afghanistan, provided support to Taliban: Report"
328,2021-11-25,Archaeologists find pre-Columbian mass grave in Peru’s Chan Chan 
329,2021-11-25,Prove us wrong: Activist tells world leaders at UN climate talk in Glasgow
330,2021-11-25,Indian-origin retired military officer in Singapore loses appeal to reduce drunk driving sentence
331,2021-11-25,Taliban replace statue of Hazara leader in Bamiyan with Koran
332,2021-11-25,"Indian-origin techie who killed wife, kids over financial crunch sentenced to life by US court"
333,2021-11-25,"Afghanistan 'at brink of economic collapse', warns Pakistan"
334,2021-11-25,"Beijing seals mall, housing compounds over Covid-19 flare-up"
335,2021-11-25,Protests rock Glasgow as demonstrators demand action against climate change | In Pics
336,2021-11-25,Taliban interested in talks with world for recognition: Pak Foreign Minister Qureshi
337,2021-11-25,Fall in photos: Autumn paints the world in shades of red and yellow
338,2021-11-25,"Hope NSA-level meet contributes to peace, stability of Afghanistan: Taliban"
339,2021-11-25,China’s Xi Jinping warns against return to ‘Cold War’ tensions in Indo-Pacific
340,2021-11-25,"COP26: US, China unveil deal to ramp up cooperation on climate change"
341,2021-11-25,"Covid-19 cases declining everywhere except Europe, deaths up by 10%: WHO"
342,2021-11-25,"Islamic State in Afghanistan 'under control', say Taliban"
343,2021-11-25,"Amid deepening migrant crisis, EU debates on funding border fences "
344,2021-11-25,Afghan acting Foreign Minister visits Pakistan on maiden trip 
